MuseumAbbreviation,CatalogNumber,SpecimenID,CurrentIdentification,CommonName,Family,Country,Province,District,CentroidLatitude,CentroidLongitude,Sex,Weight,TotalLength,TailLength,HindFoot,EarLength
USNM,443513,USNM443513,Cerdocyon thous,Crab-eating Fox,Canidae,Venezuela,Apure,,7.32,-71.95,Male,5910,900,275,145,78
USNM,443515,USNM443515,Cerdocyon thous,Crab-eating Fox,Canidae,Venezuela,Apure,,7.32,-71.95,Male,6360,970,300,140,80
USNM,443516,USNM443516,Cerdocyon thous,Crab-eating Fox,Canidae,Venezuela,Apure,,7.32,-71.95,Female,5450,980,257,142,78
USNM,443518,USNM443518,Cerdocyon thous,Crab-eating Fox,Canidae,Venezuela,Zulia,,9.18,-72.7,Female,5000,900,270,140,77
USNM,443674,USNM443674,Cerdocyon thous,Crab-eating Fox,Canidae,Venezuela,Lara,,9.88,-69.78,Male,4550,940,280,135,70
USNM,443678,USNM443678,Cerdocyon thous,Crab-eating Fox,Canidae,Venezuela,Lara,,9.88,-69.78,Female,4090,920,250,130,73
USNM,450452,USNM450452,Civettictis civetta,African Civet,Viverridae,Cote d'Ivoire,,,5.32,-4.13,Female,10900,1280,480,140,55
USNM,477342,USNM477342,Civettictis civetta,African Civet,Viverridae,Cote d'Ivoire,,,5.82,-6.75,Female,3700,970,355,110,51
USNM,481987,USNM481987,Civettictis civetta,African Civet,Viverridae,Liberia,Grand Gedeh,,6.22,-8.13,Female,9200,1230,435,130,52
USNM,481988,USNM481988,Civettictis civetta,African Civet,Viverridae,Liberia,Grand Gedeh,,6.22,-8.13,Male,4700,993,375,125,52
USNM,443285,USNM443285,Conepatus semistriatus,Striped Hog-nosed Skunk,Mephitidae,Venezuela,Falcon,,11.17,-70.62,Female,2050,670,245,76,31
USNM,443286,USNM443286,Conepatus semistriatus,Striped Hog-nosed Skunk,Mephitidae,Venezuela,Falcon,,11.17,-70.62,Female,2730,605,190,75,30
USNM,443289,USNM443289,Conepatus semistriatus,Striped Hog-nosed Skunk,Mephitidae,Venezuela,Falcon,,11.17,-70.62,Female,2140,660,250,75,28
USNM,443290,USNM443290,Conepatus semistriatus,Striped Hog-nosed Skunk,Mephitidae,Venezuela,Falcon,,11.17,-70.62,Male,2730,670,220,80,32
USNM,443291,USNM443291,Conepatus semistriatus,Striped Hog-nosed Skunk,Mephitidae,Venezuela,Falcon,,11.17,-70.62,Male,3180,720,230,88,33
USNM,443293,USNM443293,Conepatus semistriatus,Striped Hog-nosed Skunk,Mephitidae,Venezuela,Falcon,,11.17,-70.62,Female,2409,710,250,78,31
USNM,443294,USNM443294,Conepatus semistriatus,Striped Hog-nosed Skunk,Mephitidae,Venezuela,Falcon,,11.17,-70.62,Female,2045,620,250,80,32
USNM,443295,USNM443295,Conepatus semistriatus,Striped Hog-nosed Skunk,Mephitidae,Venezuela,Falcon,,11.17,-70.62,Female,1816,610,220,73,32
USNM,443296,USNM443296,Conepatus semistriatus,Striped Hog-nosed Skunk,Mephitidae,Venezuela,Falcon,,11.17,-70.62,Female,1952,605,215,82,31
USNM,443414,USNM443414,Conepatus semistriatus,Striped Hog-nosed Skunk,Mephitidae,Venezuela,Falcon,,11.83,-69.98,Female,1532,575,202,70,28
USNM,443576,USNM443576,Conepatus semistriatus,Striped Hog-nosed Skunk,Mephitidae,Venezuela,Zulia,,9.18,-72.7,Male,3410,750,250,85,35
USNM,467657,USNM467657,Crossarchus obscurus,Common Kusimanse,Herpestidae,Cote d'Ivoire,,,7.43,-3.47,Female,700,484,167,66,22
USNM,467660,USNM467660,Crossarchus obscurus,Common Kusimanse,Herpestidae,Cote d'Ivoire,,,7.05,-5.62,Female,454,440,148,64,23
USNM,467661,USNM467661,Crossarchus obscurus,Common Kusimanse,Herpestidae,Cote d'Ivoire,,,9.42,-7.52,Female,454,513,183,68,24
USNM,467662,USNM467662,Crossarchus obscurus,Common Kusimanse,Herpestidae,Cote d'Ivoire,,,7.43,-3.47,Female,600,531,177,64,25
USNM,467663,USNM467663,Crossarchus obscurus,Common Kusimanse,Herpestidae,Cote d'Ivoire,,,7.43,-3.47,Male,1000,480,162,66,24
USNM,467664,USNM467664,Crossarchus obscurus,Common Kusimanse,Herpestidae,Ghana,Ashanti,,6.08,-1.77,Male,1000,503,174,70,24
USNM,481994,USNM481994,Crossarchus obscurus,Common Kusimanse,Herpestidae,Liberia,Grand Gedeh,,6.22,-8.13,Female,760,495,170,66,22
USNM,481995,USNM481995,Crossarchus obscurus,Common Kusimanse,Herpestidae,Liberia,Grand Gedeh,,6.22,-8.13,Female,1000,555,188,72,24
USNM,481996,USNM481996,Crossarchus obscurus,Common Kusimanse,Herpestidae,Liberia,Grand Gedeh,,6.22,-8.13,Male,800,531,170,68,25
USNM,588444,USNM588444,Crossarchus obscurus,Common Kusimanse,Herpestidae,,,,,,Female,970,475,141,69,24
USNM,588445,USNM588445,Crossarchus obscurus,Common Kusimanse,Herpestidae,,,,,,Male,725,490,160,72,25
USNM,583894,USNM583894,Crossarchus obscurus,Common Kusimanse,Herpestidae,,,,,,Female,703,330,,63,24
USNM,469882,USNM469882,Cynictis penicillata,Yellow Mongoose,Herpestidae,South Africa,Mpumalanga,Ermelo District,-26.45,29.67,Female,542,517,211,67,38
USNM,469883,USNM469883,Cynictis penicillata,Yellow Mongoose,Herpestidae,South Africa,Northern Cape,Calvinia District,-31.47,19.9,Male,907,626,77,85,35
USNM,469884,USNM469884,Cynictis penicillata,Yellow Mongoose,Herpestidae,South Africa,Western Cape,Montagu District,-33.78,20.12,Female,1021,641,292,81,37
USNM,470157,USNM470157,Cynictis penicillata,Yellow Mongoose,Herpestidae,Botswana,,,-21.88,27.27,Female,440,530,235,66,29
USNM,550377,USNM550377,Cystophora cristata,Hooded Seal,Phocidae,United States,Maine,Lincoln County,44,-69.67,Male,17000,920,,,
USNM,550444,USNM550444,Cystophora cristata,Hooded Seal,Phocidae,United States,Florida,Broward County,26.13,-80.07,Male,41000,113,,,
USNM,550317,USNM550317,Cystophora cristata,Hooded Seal,Phocidae,United States,Massachusetts,Plymouth County,,,Male,106000,169,,,
USNM,546105,USNM546105,Eira barbara,Tayra,Mustelidae,Brazil,Para,,-1.85,-48.48,Female,2000,900,400,100,35
USNM,406838,USNM406838,Eira barbara,Tayra,Mustelidae,Venezuela,Amazonas,,5.4,-67.65,Female,4550,1090,430,115,41
USNM,442899,USNM442899,Eira barbara,Tayra,Mustelidae,Venezuela,Falcon,,11.18,-68.68,Female,,966,387,111,41
USNM,443483,USNM443483,Eira barbara,Tayra,Mustelidae,Venezuela,Apure,,7.32,-71.95,Male,7050,1220,430,90,30
USNM,443485,USNM443485,Eira barbara,Tayra,Mustelidae,Venezuela,Zulia,,9.2,-72.63,Male,5680,1130,430,111,41
USNM,443575,USNM443575,Eira barbara,Tayra,Mustelidae,Venezuela,Zulia,,9.2,-72.63,Female,2730,1060,430,180,42
USNM,443577,USNM443577,Eira barbara,Tayra,Mustelidae,Venezuela,Barinas,,8.83,-70.5,Male,3180,920,350,115,38
USNM,544644,USNM544644,Eira barbara,Tayra,Mustelidae,Brazil,Para,,-4,-54.67,Female,3430,980,380,105,37
USNM,605310,USNM605310,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,59.6,-149.57,Female,190000,2175,,,
USNM,605665,USNM605665,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,59.43,-146.33,Male,265000,2380,,,
USNM,605664,USNM605664,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,58.68,-152.48,Female,292000,2320,,,
USNM,605666,USNM605666,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,55.77,-155.65,Male,147000,1880,,,
USNM,605675,USNM605675,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,60.72,-146.72,Female,220000,2310,,,
USNM,605676,USNM605676,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,60.72,-146.72,Female,268000,2335,,,
USNM,605677,USNM605677,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,60.78,-146.5,Female,202000,2170,,,
USNM,605678,USNM605678,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,60.78,-146.5,Female,160000,2110,,,
USNM,605679,USNM605679,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,60.78,-146.5,Female,215000,2153,,,
USNM,605680,USNM605680,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,60.78,-146.5,Female,254000,2220,,,
USNM,605681,USNM605681,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,60.23,-148,Female,262000,2268,,,
USNM,605682,USNM605682,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,59.35,-150.4,Female,269000,2305,,,
USNM,605683,USNM605683,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,59.35,-150.4,Male,162000,1907,,,
USNM,605684,USNM605684,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,59.35,-150.4,Male,490000,2765,,,
USNM,605685,USNM605685,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,59.35,-150.4,Female,282000,2378,,,
USNM,605686,USNM605686,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,Kenai Peninsula Borough,59.7,-149.52,Female,165000,2025,,,
USNM,605687,USNM605687,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,Kenai Peninsula Borough,59.7,-149.52,Female,208000,2075,,,
USNM,605688,USNM605688,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,,,Female,248000,2195,,,
USNM,605689,USNM605689,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,58.52,-152.22,Male,245000,2205,,,
USNM,605690,USNM605690,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,58.88,-152.03,Male,820000,2870,,,
USNM,605691,USNM605691,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,,,Female,290000,2290,,,
USNM,605692,USNM605692,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,58.68,-152.48,Female,228000,2105,,,
USNM,605693,USNM605693,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,58.23,-151.78,Female,261000,2395,,,
USNM,605694,USNM605694,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,58.23,-151.78,Female,219000,2370,,,
USNM,605695,USNM605695,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,58.23,-151.78,Female,218000,2190,,,
USNM,605696,USNM605696,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,60.85,-147.13,Female,265000,2295,,,
USNM,605698,USNM605698,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,60.23,-148,Male,290000,2397,,,
USNM,605699,USNM605699,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,,,Male,282000,2345,,,
USNM,605700,USNM605700,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,60.72,-146.72,Male,255000,2215,,,
USNM,605701,USNM605701,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,60.58,-147.57,Male,174000,2115,,,
USNM,605704,USNM605704,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,60.58,-147.57,Female,130000,1845,,,
USNM,605707,USNM605707,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,,,Female,280000,2280,,,
USNM,605708,USNM605708,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,,,Female,237000,2250,,,
USNM,605710,USNM605710,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,,,Male,175000,1970,,,
USNM,605711,USNM605711,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,,,Male,335000,2260,,,
USNM,605712,USNM605712,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,,,Male,320000,2340,,,
USNM,605713,USNM605713,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,56.32,-168.522,Female,297700,2971,,,
USNM,605714,USNM605714,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,56.32,-168.522,Male,109000,1089,,,
USNM,605724,USNM605724,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,,,Female,280000,2295,,,
USNM,605725,USNM605725,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,,,Male,305000,2270,,,
USNM,605726,USNM605726,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,,,Male,240000,2180,,,
USNM,605727,USNM605727,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,,,Male,370000,2360,,,
USNM,605728,USNM605728,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,56.08,-168.548,Male,335000,2440,,,
USNM,605729,USNM605729,Eumetopias jubatus,Steller Sea Lion,Otariidae,United States,Alaska,,56.0567,-168.57,Male,426000,2660,,,
USNM,396392,USNM396392,Felis catus,Domestic Cat,Felidae,United States,District of Columbia,,,,Male,5000,861,304,133,61
USNM,602628,USNM602628,Felis catus,Domestic Cat,Felidae,Djibouti,Djibouti Region,,11.5422,43.1667,Female,4000,841,245,109,58
USNM,602627,USNM602627,Felis catus,Domestic Cat,Felidae,Djibouti,Tadjoura Region,,11.7849,42.6452,Male,2700,700,280,115,65
USNM,452463,USNM452463,Felis nigripes,Black-footed Cat,Felidae,South Africa,Northern Cape,,-30.55,25.97,Female,700,455,140,86,48
USNM,452464,USNM452464,Felis nigripes,Black-footed Cat,Felidae,South Africa,Northern Cape,,-28.9,23.77,Female,700,473,153,80,4
USNM,469888,USNM469888,Felis silvestris,Wildcat,Felidae,South Africa,Northern Cape,,-30.5,25.97,Male,2381,743,281,136,70
USNM,469889,USNM469889,Felis silvestris,Wildcat,Felidae,South Africa,Northern Cape,,-30.5,25.97,Male,3175,774,320,135,60
USNM,469890,USNM469890,Felis silvestris,Wildcat,Felidae,South Africa,Northern Cape,Kenhardt District,-29.12,21.15,Female,1474,637,252,115,66
USNM,470165,USNM470165,Felis silvestris,Wildcat,Felidae,Botswana,,,-18.83,22.25,Male,4763,910,330,150,70
USNM,470166,USNM470166,Felis silvestris,Wildcat,Felidae,Botswana,,,-18.73,21.75,Female,2495,740,293,137,70
USNM,470167,USNM470167,Felis silvestris,Wildcat,Felidae,Botswana,,,-18.35,21.87,Male,4196,895,352,155,73
USNM,470168,USNM470168,Felis silvestris,Wildcat,Felidae,Botswana,,,-18.35,21.87,Male,4649,920,360,150,72
USNM,470169,USNM470169,Felis silvestris,Wildcat,Felidae,Botswana,,,-20.03,21.47,Male,5670,960,320,165,70
USNM,470170,USNM470170,Felis silvestris,Wildcat,Felidae,Botswana,,,-19.42,22.27,Female,3289,783,410,148,70
USNM,470171,USNM470171,Felis silvestris,Wildcat,Felidae,Botswana,,,-19.42,22.27,Male,2495,760,310,145,70
USNM,470172,USNM470172,Felis silvestris,Wildcat,Felidae,Botswana,,,-19.42,22.27,Female,3856,795,305,148,74
USNM,470173,USNM470173,Felis silvestris,Wildcat,Felidae,Botswana,,,-21.88,27.27,Male,4196,860,330,145,68
USNM,469867,USNM469867,Galerella pulverulenta,Cape Gray Mongoose,Herpestidae,South Africa,Northern Cape,Kenhardt District,-29.12,21.15,Male,907,681,311,76,31
USNM,469868,USNM469868,Galerella pulverulenta,Cape Gray Mongoose,Herpestidae,South Africa,Northern Cape,Kenhardt District,-29.12,21.15,Male,680,658,311,72,31
USNM,469869,USNM469869,Galerella pulverulenta,Cape Gray Mongoose,Herpestidae,South Africa,Northern Cape,Kenhardt District,-29.12,21.15,Male,680,640,296,70,31
USNM,469870,USNM469870,Galerella pulverulenta,Cape Gray Mongoose,Herpestidae,South Africa,Northern Cape,Kenhardt District,-29.12,21.15,Female,454,630,309,65,30
USNM,469871,USNM469871,Galerella pulverulenta,Cape Gray Mongoose,Herpestidae,South Africa,Northern Cape,,-31.03,19.45,Female,680,634,287,65,30
USNM,469872,USNM469872,Galerella pulverulenta,Cape Gray Mongoose,Herpestidae,South Africa,Western Cape,,-32.48,19.53,Male,964,648,297,68,30
USNM,469873,USNM469873,Galerella pulverulenta,Cape Gray Mongoose,Herpestidae,South Africa,Western Cape,Clanwilliam District,-32.13,19,Male,907,605,308,85,45
USNM,469874,USNM469874,Galerella pulverulenta,Cape Gray Mongoose,Herpestidae,South Africa,Western Cape,,-31.03,18.28,Female,794,656,365,60,30
USNM,469875,USNM469875,Galerella pulverulenta,Cape Gray Mongoose,Herpestidae,South Africa,Western Cape,,-31.03,18.28,Male,1021,675,296,79,34
USNM,469876,USNM469876,Galerella pulverulenta,Cape Gray Mongoose,Herpestidae,South Africa,Western Cape,Laingsburg District,-33.42,20.75,Male,907,565,253,70,29
USNM,469877,USNM469877,Galerella pulverulenta,Cape Gray Mongoose,Herpestidae,South Africa,Western Cape,Laingsburg District,-33.42,20.75,Female,794,635,310,65,30
USNM,465678,USNM465678,Galerella sanguinea,Commone Slender Mongoose,Herpestidae,Burkina Faso,,,12.9,-3.88,Female,279,532,271,54,26
USNM,467667,USNM467667,Galerella sanguinea,Commone Slender Mongoose,Herpestidae,Cote d'Ivoire,,,9.42,-7.52,Female,460,580,275,56,27
USNM,467668,USNM467668,Galerella sanguinea,Commone Slender Mongoose,Herpestidae,Cote d'Ivoire,,,9.42,-7.52,Male,423,585,280,60,27
USNM,467669,USNM467669,Galerella sanguinea,Commone Slender Mongoose,Herpestidae,Cote d'Ivoire,Odienné,Denguélé,9.42,-7.52,Male,545,566,260,59,26
USNM,467670,USNM467670,Galerella sanguinea,Commone Slender Mongoose,Herpestidae,Cote d'Ivoire,,,9.6,-6.3,Male,458,573,270,26,59
USNM,467671,USNM467671,Galerella sanguinea,Commone Slender Mongoose,Herpestidae,Cote d'Ivoire,,,9.6,-6.3,Male,412,568,280,62,25
USNM,467672,USNM467672,Galerella sanguinea,Commone Slender Mongoose,Herpestidae,Cote d'Ivoire,,,7.93,-6.13,Female,484,605,290,57,29
USNM,467673,USNM467673,Galerella sanguinea,Commone Slender Mongoose,Herpestidae,Ghana,Ashanti,,6.08,-1.77,Male,600,593,263,61,28
USNM,469878,USNM469878,Galerella sanguinea,Commone Slender Mongoose,Herpestidae,South Africa,Gauteng,Vereeniging District,-26.57,28.02,Female,399,526,250,61,21
USNM,469879,USNM469879,Galerella sanguinea,Commone Slender Mongoose,Herpestidae,South Africa,Northern Province,,-24.67,27.37,Female,165,432,208,48,22
USNM,539732,USNM539732,Galerella sanguinea,Commone Slender Mongoose,Herpestidae,Sierra Leone,Eastern Province,Kailahun District,7.98,-10.95,Male,490,630,283,64,27
USNM,469855,USNM469855,Genetta genetta,Common Genet,Viverridae,South Africa,Free State,,-30.63,25.55,Female,1247,904,423,87,53
USNM,469856,USNM469856,Genetta genetta,Common Genet,Viverridae,South Africa,Northern Cape,Hopetown District,-29.62,24.08,Male,1474,856,412,82,49
USNM,469857,USNM469857,Genetta genetta,Common Genet,Viverridae,South Africa,Northern Cape,Kenhardt District,-29.12,21.15,Male,2041,948,455,91,55
USNM,469858,USNM469858,Genetta genetta,Common Genet,Viverridae,South Africa,Northern Cape,,-30.37,17.52,Male,1814,948,466,92,56
USNM,470152,USNM470152,Genetta genetta,Common Genet,Viverridae,Botswana,,,-21.88,27.27,Female,794,705,360,76,51
USNM,470153,USNM470153,Genetta genetta,Common Genet,Viverridae,Botswana,,,-21.28,27.27,Female,1134,840,410,82,52
USNM,470154,USNM470154,Genetta genetta,Common Genet,Viverridae,Botswana,,,-22.28,27.12,Male,1474,940,460,86,54
USNM,470527,USNM470527,Genetta genetta,Common Genet,Viverridae,Zimbabwe,Matabeleland,,-20.3,28.93,Female,3629,928,425,89,57
USNM,465677,USNM465677,Genetta genetta,Common Genet,Viverridae,Burkina Faso,,,12.9,-3.88,Female,1000,846,423,86,46
USNM,467584,USNM467584,Genetta maculata,Rusty-spotted Genet,Viverridae,Cote d'Ivoire,Sassandra,,7,-7.05,Female,2268,960,410,85,44
USNM,467585,USNM467585,Genetta maculata,Rusty-spotted Genet,Viverridae,Cote d'Ivoire,Sassandra,,7,-7.05,Female,530,620,283,63,37
USNM,467586,USNM467586,Genetta maculata,Rusty-spotted Genet,Viverridae,Cote d'Ivoire,,,6.92,-7.62,Female,1814,985,450,95,45
USNM,467587,USNM467587,Genetta maculata,Rusty-spotted Genet,Viverridae,Cote d'Ivoire,,,9.42,-7.52,Female,1361,890,420,88,45
USNM,467588,USNM467588,Genetta maculata,Rusty-spotted Genet,Viverridae,Cote d'Ivoire,,,5.52,-5.25,Female,1600,868,389,88,45
USNM,467589,USNM467589,Genetta maculata,Rusty-spotted Genet,Viverridae,Cote d'Ivoire,,,5.82,-6.75,Female,1800,905,430,90,42
USNM,467590,USNM467590,Genetta maculata,Rusty-spotted Genet,Viverridae,Cote d'Ivoire,,,7.43,-3.47,Female,1500,865,390,94,41
USNM,467591,USNM467591,Genetta maculata,Rusty-spotted Genet,Viverridae,Ghana,Ashanti,,6.08,-1.77,Female,2800,965,432,99,45
USNM,467592,USNM467592,Genetta maculata,Rusty-spotted Genet,Viverridae,Cote d'Ivoire,,,9.6,-6.3,Male,1814,1025,460,92,50
USNM,467613,USNM467613,Genetta maculata,Rusty-spotted Genet,Viverridae,Burkina Faso,,,11.8,-2.13,Female,1700,868,407,83,40
USNM,467618,USNM467618,Genetta maculata,Rusty-spotted Genet,Viverridae,Burkina Faso,,,11.88,-4.52,Male,1800,930,443,91,46
USNM,469859,USNM469859,Genetta maculata,Rusty-spotted Genet,Viverridae,South Africa,North-West Province,,-25.42,26.33,Female,1588,880,423,85,50
USNM,469860,USNM469860,Genetta maculata,Rusty-spotted Genet,Viverridae,South Africa,Mpumalanga,,-25.43,31.93,Female,2041,1042,532,95,48
USNM,470528,USNM470528,Genetta maculata,Rusty-spotted Genet,Viverridae,Zimbabwe,Masvingo,Masvingo District,-21.67,31.75,Male,5897,1018,502,91,54
USNM,470529,USNM470529,Genetta maculata,Rusty-spotted Genet,Viverridae,Zimbabwe,Matabeleland,,-20.3,28.93,Female,4990,880,405,84,45
USNM,477343,USNM477343,Genetta maculata,Rusty-spotted Genet,Viverridae,Ghana,Ashanti,,6.08,-1.77,Female,4260,980,435,100,43
USNM,481984,USNM481984,Genetta maculata,Rusty-spotted Genet,Viverridae,Liberia,Grand Gedeh,,6.22,-8.13,Female,2200,920,403,93,45
USNM,481985,USNM481985,Genetta maculata,Rusty-spotted Genet,Viverridae,Liberia,Grand Gedeh,,6.22,-8.13,Female,1800,845,390,90,42
USNM,481986,USNM481986,Genetta maculata,Rusty-spotted Genet,Viverridae,Liberia,Grand Gedeh,,6.22,-8.13,Female,2400,970,430,93,43
USNM,537887,USNM537887,Genetta maculata,Rusty-spotted Genet,Viverridae,"Congo, Democratic Rep. Of",Equateur,,3.03,19.35,Female,550,636,298,70,14
USNM,465659,USNM465659,Genetta thierryi,Hausa Genet,Viverridae,Cote d'Ivoire,,,7.93,-6.13,Female,907,760,307,75,41
USNM,465660,USNM465660,Genetta thierryi,Hausa Genet,Viverridae,Burkina Faso,,,12.25,0.27,Female,907,754,381,79,34
USNM,465661,USNM465661,Genetta thierryi,Hausa Genet,Viverridae,Burkina Faso,,,12.25,0.27,Male,1810,822,396,79,42
USNM,465662,USNM465662,Genetta thierryi,Hausa Genet,Viverridae,Burkina Faso,,,12.17,0.93,Female,1100,796,391,78,44
USNM,465663,USNM465663,Genetta thierryi,Hausa Genet,Viverridae,Burkina Faso,,,11.9,-2.97,Female,1200,825,410,80,41
USNM,465668,USNM465668,Genetta thierryi,Hausa Genet,Viverridae,Burkina Faso,,,11.9,-2.97,Female,1000,805,402,78,44
USNM,465669,USNM465669,Genetta thierryi,Hausa Genet,Viverridae,Burkina Faso,,,12.9,-3.88,Male,1100,785,373,75,43
USNM,465670,USNM465670,Genetta thierryi,Hausa Genet,Viverridae,Burkina Faso,,,12.9,-3.88,Female,800,763,398,77,41
USNM,465671,USNM465671,Genetta thierryi,Hausa Genet,Viverridae,Burkina Faso,,,12.9,-3.88,Male,1300,858,415,85,42
USNM,465672,USNM465672,Genetta thierryi,Hausa Genet,Viverridae,Burkina Faso,,,12.9,-3.88,Male,1200,893,457,83,45
USNM,465673,USNM465673,Genetta thierryi,Hausa Genet,Viverridae,Burkina Faso,,,12.9,-3.88,Male,900,747,354,80,42
USNM,465674,USNM465674,Genetta thierryi,Hausa Genet,Viverridae,Burkina Faso,,,12.9,-3.88,Male,1200,860,439,79,42
USNM,465675,USNM465675,Genetta thierryi,Hausa Genet,Viverridae,Burkina Faso,,,11.5,-4,Female,1400,820,395,81,41
USNM,465676,USNM465676,Genetta thierryi,Hausa Genet,Viverridae,Burkina Faso,,,11.45,-3.23,Female,1400,835,400,76,43
USNM,467593,USNM467593,Genetta thierryi,Hausa Genet,Viverridae,Cote d'Ivoire,,,7.05,-5.62,Female,907,814,404,73,38
USNM,467594,USNM467594,Genetta thierryi,Hausa Genet,Viverridae,Cote d'Ivoire,,,9.42,-7.52,Female,907,820,389,75,39
USNM,467595,USNM467595,Genetta thierryi,Hausa Genet,Viverridae,Cote d'Ivoire,,,9.6,-6.3,Male,500,670,320,72,40
USNM,467596,USNM467596,Genetta thierryi,Hausa Genet,Viverridae,Cote d'Ivoire,,,9.6,-6.3,Male,454,845,405,75,41
USNM,467597,USNM467597,Genetta thierryi,Hausa Genet,Viverridae,Cote d'Ivoire,,,9.6,-6.3,Female,454,829,412,80,39
USNM,467598,USNM467598,Genetta thierryi,Hausa Genet,Viverridae,Cote d'Ivoire,,,9.6,-6.3,Male,907,927,467,73,42
USNM,467599,USNM467599,Genetta thierryi,Hausa Genet,Viverridae,Cote d'Ivoire,,,8.23,-7.4,Female,454,764,364,63,39
USNM,467600,USNM467600,Genetta thierryi,Hausa Genet,Viverridae,Cote d'Ivoire,,,8.23,-7.4,Female,454,793,375,74,41
USNM,467601,USNM467601,Genetta thierryi,Hausa Genet,Viverridae,Cote d'Ivoire,,,9.42,-7.52,Male,454,305,390,72,41
USNM,467602,USNM467602,Genetta thierryi,Hausa Genet,Viverridae,Cote d'Ivoire,,,9.42,-7.52,Female,907,811,404,74,40
USNM,467603,USNM467603,Genetta thierryi,Hausa Genet,Viverridae,Cote d'Ivoire,,,7.93,-6.13,Female,276,487,235,55,40
USNM,467604,USNM467604,Genetta thierryi,Hausa Genet,Viverridae,Cote d'Ivoire,,,7.93,-6.13,Female,907,844,430,75,44
USNM,467605,USNM467605,Genetta thierryi,Hausa Genet,Viverridae,Cote d'Ivoire,,,7.93,-6.13,Male,1361,845,385,80,40
USNM,467606,USNM467606,Genetta thierryi,Hausa Genet,Viverridae,Cote d'Ivoire,,,7.93,-6.13,Male,907,879,453,77,42
USNM,467607,USNM467607,Genetta thierryi,Hausa Genet,Viverridae,Cote d'Ivoire,,,9.15,-4.62,Male,907,930,456,84,40
USNM,467608,USNM467608,Genetta thierryi,Hausa Genet,Viverridae,Cote d'Ivoire,,,9.27,-3,Female,1400,905,446,85,44
USNM,467609,USNM467609,Genetta thierryi,Hausa Genet,Viverridae,Cote d'Ivoire,,,7.82,-4.68,Female,1000,783,386,75,38
USNM,467610,USNM467610,Genetta thierryi,Hausa Genet,Viverridae,Cote d'Ivoire,,,7.82,-4.68,Female,1200,795,386,75,40
USNM,467611,USNM467611,Genetta thierryi,Hausa Genet,Viverridae,Cote d'Ivoire,Gbêkê,Vallée du Bandama,7.82,-4.68,Female,1200,877,436,79,41
